Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Le Livre et le Vin,,Bourgogne-Franche-Comté,Saône-et-Loire,Cuisery,71290,71158,200071538,CC Terres de Bresse,,,,,,,cuisery.livre@orange.fr,De 1990 à 1999,1997,"Cinéma, audiovisuel",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71158_1909,"46.5569799009, 4.99361378862",
D'aujourd'hui à demain,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,4,Place,du Champs de foire,4 Place du Champs de foire,,http://clunycontemporaine.org/,jocelyne.messager2@wanadoo.fr,De 2000 à 2009,2002,Musique,,Musique contemporaine,,,,,Saison (21 juin - 5 septembre),,FEST_71137_1707,"46.4303628582, 4.67033276327",
La Planche à Clous,,Bourgogne-Franche-Comté,Saône-et-Loire,Rully,71150,71378,247100589,CA le Grand Chalon,1,Place,du Champ de foire,1 Place du Champ de foire,,boumkao.fr,boumkao@gmail.com,2010 et après,2013,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71378_5568,"46.8728849421, 4.75062759298",
"Festival de Pentecôte, Les concerts de l'évêché",,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,200070530,CC du Grand Autunois Morvan,,,,,,,florence.heuillard@orange.fr,2010 et après,2017,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71014_484,"46.945536773, 4.31060069532",
Dancing People Don't Die,Interrégionale,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,247100589,CA Le Grand Chalon,52,Quai,Saint-Cosme,52 Quai Saint-Cosme,Site de L'Abattoir,www.dancingpeopledontdie.org,com@lapeniche.org,2010 et après,2018,Musique,,"Musiques du monde, Musiques électroniques, techno, Pop, rock",07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_71076_1413,"46.7900288793, 4.85191555008",4321
Zone zine,,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,247100589,CA Le Grand Chalon,52,Rue,Quai Saint cosme,52 Rue Quai Saint cosme,,www.zonezine.fr,encrage.atelier@gmail.com,2010 et après,2018,"Arts visuels, arts numériques",,,,,Micro édition,,Avant-saison (1er janvier - 20 juin),,FEST_71076_1416,"46.7900288793, 4.85191555008",
Musicaves,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Givry,71640,71221,247100589,CA Le Grand Chalon,54,Rue,Du 19 mars 1962,54 Rue Du 19 mars 1962,,https://festival-les-musicaves.fr/,contact@festival-les-musicaves.fr,De 1990 à 1999,1998,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71221_2411,"46.7702122725, 4.75441496992",
ArtAutun#2020,,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,242100410,Dijon Métropole,,,,,,http://artautun.fr/,autun@autun.com,2010 et après,2018,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_71014_480,"46.945536773, 4.31060069532",
Alternalivres,,Bourgogne-Franche-Comté,Saône-et-Loire,Messey-sur-Grosne,71390,71296,247104094,CC Sud Côte Chalonnaise,,,,,,https://alternalivresleblog.wordpress.com/2022/04/13/10-et-11-juin-2022-enfin/,alternalivres@gmail.com,2010 et après,2016,"Livre, littérature",,,,,,,Saison (21 juin - 5 septembre),,FEST_71296_3871,"46.6508093785, 4.75084615409",
Chalon tout court,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),,,,,,http://chalontoutcourt.com,http://chalontoutcourt.com/contact,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,Court métrage,,,Avant-saison (1er janvier - 20 juin),,FEST_71076_1411,"46.7900288793, 4.85191555008",
Semaine du cinéma africain,,Bourgogne-Franche-Comté,Saône-et-Loire,Tournus,71700,71543,200069698,CC Mâconnais - Tournugeois,37,Rue,de la République,37 Rue de la République,,https://www.tournus.fr/cinema-la-palette,cinema@tournus.fr,2010 et après,,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_71543_6722,"46.5651726015, 4.90012429206",
Musique en Charolais-Brionnais,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Bonnet-de-Joux,71220,71394,200071884,CC Le Grand Charolais,675,Chemin,du Gâ,675 Chemin  du Gâ,,www.musique-en-charolais-brionnais.com,musique.en.charolais.brionnais@gmail.com,De 2000 à 2009,2005,Musique,,Musique classique,"11- Musique classique, lyrique, contemporaine, autres",,,,Saison (21 juin - 5 septembre),,FEST_71394_5675,"46.4782854677, 4.43348327243",5962
Salon du livre fantasy en Beaujolais,,Bourgogne-Franche-Comté,Saône-et-Loire,Crêches-sur-Saône,71680,71150,200070308,CA Mâconnais Beaujolais Agglomération,,,,,,https://fantasyenbeaujolais.wordpress.com/,salon-fantasy@live.fr,2010 et après,2012,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71150_1872,"46.2410718628, 4.78718291781",
Les Ripailles,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Toulon-sur-Arroux,71320,71542,200070316,"CC Entre Arroux, Loire et Somme",1,Rue,du Moulin,1 Rue du Moulin,Moulin des Roches,En cours de création,lesripailles@hotmail.com,2010 et après,2019,Musique,,Gospel et Polyphonies,,,,,Saison (21 juin - 5 septembre),,FEST_71542_6621,"46.6826511645, 4.14773994061",
Bonnay'Toiles,,Bourgogne-Franche-Comté,Saône-et-Loire,Bonnay,71460,25073,200068088,CC Les Bertranges,,,,,,https://www.facebook.com/bonnaytoiles/,maryseannet@aol.com,2010 et après,2019,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25073_885,"47.3292152038, 6.04469587885",
Ciné Pause,,Bourgogne-Franche-Comté,Saône-et-Loire,La Vineuse-sur-Fregande,71250,71582,200067692,CC Tannay-Brinon-Corbigny,1,Place,Ciné Pause,1 Place Ciné Pause,,http://cinepause.org/index.php?p=0,cinepause.71@gmail.com // cinevillage71@gmail.com,De 1990 à 1999,1990,"Cinéma, audiovisuel",,,,"Documentaire, Fiction long métrage, Film d'animation, Film en cours de fabrication",,,Saison (21 juin - 5 septembre),,FEST_71582_2889,"46.4606978689, 4.60125621922",
Les beaux bagages,,Bourgogne-Franche-Comté,Saône-et-Loire,Le Creusot,71200,71153,247100290,CU Le Creusot Montceau-les-Mines,,,,,,www.lesbeauxbagages.fr,lesbeauxbagages@ville-creusot.fr // philippe.berthaud@ville-lecreusot.fr,2010 et après,2012,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71153_3067,"46.8068539189, 4.42642301163",
Tango swing et bretelles,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Montceau-les-Mines,71300,71306,247100290,CU Le Creusot Montceau-les-Mines,1,Quai,Jules Chagot,1 Quai Jules Chagot,,www.embarcadere-montceau.fr,nelezaar@montceaulesmines.fr,De 1990 à 1999,,Musique,,"Chanson ou variété française, Jazz, blues, Musiques du monde, Musiques électroniques, techno, Variétés internationales",07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_71306_4008,"46.6762539128, 4.3540960404",387
Festiv'Arts,,Bourgogne-Franche-Comté,Saône-et-Loire,Montceaux-Ragny,71240,71308,247103765,CC Entre Saône et Grosne,,,,,,,jmdomi@caramail.fr,2010 et après,2017,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71308_4009,"46.6203875932, 4.84178033117",
Grange ta cour,,Bourgogne-Franche-Comté,Saône-et-Loire,Tournus,71700,71543,200069698,CC Mâconnais - Tournugeois,21,Rue,de l'hôpital,21 Rue de l'hôpital,Cour du musée Greuse,https://www.facebook.com/RuedesgrangesTournus,grouperuedesgranges@gmail.com,2010 et après,2019,Musique,,"Jazz, blues, Pop, rock, RnB",,,,,Avant-saison (1er janvier - 20 juin),,FEST_71543_6720,"46.5651726015, 4.90012429206",
L'Été des Portraits,,Bourgogne-Franche-Comté,Saône-et-Loire,Bourbon-Lancy,71140,71047,200070316,"CC Entre Arroux, Loire et Somme",,,,,Parcs et jardins de la commune,www.letedesportraits.fr,guy.raymond2108@gmail.com,De 2000 à 2009,2004,"Arts visuels, arts numériques",,,,,Photographie,,Saison (21 juin - 5 septembre),,FEST_71047_965,"46.6204280383, 3.76862021355",
Chalon dans la rue,Transfrontalière,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,200067080,CC Chablis Villages et Terroirs,52,Quai,Saint Cosme,52 Quai Saint Cosme,,www.chalondanslarue.com,bruno.alvergnat@chalondanslarue.com,De 1980 à 1989,,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71076_1410,"46.7900288793, 4.85191555008",
Les œnorires,,Bourgogne-Franche-Comté,Saône-et-Loire,Givry,71640,71221,247100589,CA Le Grand Chalon,,,,,,http://www.lesoenorires.fr/,,2010 et après,2015,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71221_2410,"46.7702122725, 4.75441496992",
Y'a pas la mer,,Bourgogne-Franche-Comté,Saône-et-Loire,Montmort,71320,71320,247100290,CU Le Creusot Montceau-les-Mines,557,Route,de Charbonnat,557 Route de Charbonnat,,https://festivalyapaslamer.com/,compagnie.cipango@gmail.com,2010 et après,2018,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71320_4065,"46.6461358907, 4.49195438858",
Les vendanges de l'humour,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,,,,,,https://lesvendanges-de-lhumour.com,contact@lesvendanges-de-lhumour.com,de 1990 à 1999,1998,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71270_3599,"46.3205511756, 4.81842529639",
Fête du livre d'Autun,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,200070530,CC du Grand Autunois Morvan,,,,,,https://www.lireenpaysautunois.fr/,,De 1990 à 1999,1998,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71014_485,"46.945536773, 4.31060069532",
Docs en goguette,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Gengoux-le-National,71460,71417,247104094,CC Sud Côte Chalonnaise,1,Place,de l'Hôtel de Ville,1 Place de l'Hôtel de Ville,Salle de la mairie,www.docsengoguette.com,docsengoguette@gmail.com,De 2000 à 2009,2005,"Cinéma, audiovisuel",,,,Documentaire,,,Après-saison (6 septembre - 31 décembre),,FEST_71417_5850,"46.6134097037, 4.66348657274",
L'ici et l'ailleurs,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Martin-en-Bresse,71620,71456,200040038,CC Saône Doubs Bresse,11,Chemin,de Gabrot,11 Chemin  de Gabrot,,www.licietlailleurs.com,lesfilmsdelaguyotte@gmail.com,De 2000 à 2009,2005,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire",,,Avant-saison (1er janvier - 20 juin),,FEST_71456_6039,"46.8045036563, 5.06009460958",
Chefs op' en lumière,,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,200067130,CC de Puisaye-Forterre,5 B,Avenue,Nicephore Niepce,5 B Avenue Nicephore Niepce,5 rue du port villiers,festivalchefop.org,j.leconte@wanadoo.fr,2010 et après,,"Cinéma, audiovisuel",,,,"Court métrage, Fiction long métrage",,,Avant-saison (1er janvier - 20 juin),,FEST_71076_1412,"46.7900288793, 4.85191555008",
Barbacane Classics,,Bourgogne-Franche-Comté,Saône-et-Loire,Varennes-lès-Mâcon,71000,71556,242100410,Dijon Métropole,,,,,,https://www.festival-barbacane-classics.com/barbacane-macon,contact@le-concert-impromptu.fr,2010 et après,2016,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71556_6936,"46.2683636158, 4.8066970954",
Europopcorn,,Bourgogne-Franche-Comté,Saône-et-Loire,Mervans,71310,71295,200042414,CC Bresse Revermont 71,,Place,de la Mairie,Place de la Mairie,,www.europopcorn.fr,contact@europopcorn.fr,De 1990 à 1999,1996,Musique,,"Musiques du monde, Pop, rock",07- Musiques actuelles sans distinction,,,,Avant-saison (1er janvier - 20 juin),,FEST_71295_3867,"46.7945134241, 5.18412548455",1119
Les nuits bressanes,,Bourgogne-Franche-Comté,Saône-et-Loire,Louhans,71500,71263,200071579,CC Bresse Louhannaise Intercom',1,Montée,Saint-Claude,1 Montée Saint-Claude,stade de bram,www.lesnuitsbressanes.fr,emilie@hola-kids.fr,2010 et après,,Musique,,Chanson ou variété française,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_71263_3466,"46.6351883548, 5.23839292789",3545
Verjux Saône System,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Verjux,71590,71570,200040038,CC Saône Doubs Bresse,,Rue,Devant Saône,Rue Devant Saône,,http://www.verjuxsaonesystem.com/,contact@verjuxsaonesystem.com,De 2000 à 2009,2006,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71570_6998,"46.877805287, 4.97685538795",
Les P'tites Canailles,,Bourgogne-Franche-Comté,Saône-et-Loire,Digoin,71160,71176,200071884,CC Le Grand Charolais,,,,,,,panacea@wanadoo.fr,2010 et après,2015,"Cinéma, audiovisuel",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71176_1960,"46.4891651235, 4.02511604849",
Les Ligériades,,Bourgogne-Franche-Comté,Saône-et-Loire,Digoin,71160,71176,200071884,CC Le Grand Charolais,14,Place,Hôtel de ville,14 Place Hôtel de ville,,http://les-ligeriades.over-blog.fr/,jpinheiro@ville-digoin.fr,De 2000 à 2009,2005,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71176_1959,"46.4891651235, 4.02511604849",
Les moments musicaux,,Bourgogne-Franche-Comté,Saône-et-Loire,Chagny,71150,71013,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",,,,,,,communication@ville-chagny71.fr,2010 et après,2012,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71013_1394,"46.8899153529, 5.30758337993",
Silliusfest,Départementale,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,200070530,CC du Grand Autunois Morvan,2,Rue,Henri Dunant,2 Rue Henri Dunant,,,,2010 et après,2017,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71014_487,"46.945536773, 4.31060069532",
Salon du livre jeunesse de Chalon-sur-Saône,,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,247100589,CA Le Grand Chalon,,,,,,https://www.facebook.com/salondulivreChalon,"contact@eveiletdecouvertes.fr, contact@foire-salons-chalon.com",2010 et après,2016,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71076_1415,"46.7900288793, 4.85191555008",
Festival des musiques d’aujourd’hui à demain,Régionale,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,,,,,,http://clunycontemporaine.org/,daujourdhuiademain@orange.fr,De 2000 à 2009,2008,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71137_1712,"46.4303628582, 4.67033276327",
Nuits Cajun,,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Sernin-du-Bois,71200,71479,247100290,CU Le Creusot Montceau-les-Mines,2720,route,route de St Sernin,2720 route route de St Sernin,salle polyvalente,www.bayouprod.com,didier.lonjard@orange.fr,Avant 1980,1973,Musique,,"Musiques du monde, Musiques traditionnelles, Musiques Cajun - Zydeco - Swamp Pop",,,,,Saison (21 juin - 5 septembre),,FEST_71479_6167,"46.8386475435, 4.42378430368",
Périples & cie,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,,,,,,https://www.periplesetcie.com/,periplesetciemacon@orange.fr,2010 et après,2010,"Cinéma, audiovisuel",,,,"Documentaire, Films Aventure et Voyage",,,Après-saison (6 septembre - 31 décembre),,FEST_71270_3600,"46.3205511756, 4.81842529639",
Les Héros du quotidien,,Bourgogne-Franche-Comté,Saône-et-Loire,Anost,71550,71009,200070530,CC du Grand Autunois Morvan,,,,,,https://www.anost-cinema.fr/post/2021/10/09/Les-H%C3%A9ros-du-quotidien-Prendre-soin,anost.cinema@gmail.com,2010 et après,2013,"Cinéma, audiovisuel",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71009_281,"47.0770713545, 4.09241779804",
Nuits du mont Rome,,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Sernin-du-Plain,71510,71480,247100589,CA Le Grand Chalon,1,Rue,Mazenay,1 Rue Mazenay,,www.nuitsdumontrome.com,ines.sciortino@gmail.com,De 2000 à 2009,2001,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_71480_6168,"46.892384215, 4.61739889874",
La Manufacture d'idées,Régionale,Bourgogne-Franche-Comté,Saône-et-Loire,Hurigny,71570,71235,200070308,CA Mâconnais Beaujolais Agglomération,35,Impasse,de la Créssonière,35 Impasse de la Créssonière,,http://lamanufacturedidees.org/,contact.lamanufacture@gmail.com,2010 et après,2012,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71235_2593,"46.3429969068, 4.79636186257",
Musival,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Sologny,71960,71525,200070308,CA Mâconnais Beaujolais Agglomération,,,,,Le Bourg,https://www.musival.com/,contact@musival.com,2010 et après,2019,Musique,,Musique classique,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71525_6385,"46.3708080231, 4.67295100196",
Journées de l'Afrique,,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,200070530,CC du Grand Autunois Morvan,,,,,,,pierre-jacques-mathieu@autun.com,de 2000 à 2009,2008,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71014_486,"46.945536773, 4.31060069532",
Biennale d’art sacré,,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,242500361,CU Grand Besançon Métropole,,,,,,,chapelledes7dormants@gmail.com,2010 et après,2014,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_71014_481,"46.945536773, 4.31060069532",
Saperli'Poètes,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Chauffailles,71170,71120,200070548,CC La Clayette Chauffailles en Brionnais,4,Rue,Brionnais Sud Bourgogne,4 Rue Brionnais Sud Bourgogne,4 RUE ELIE MAURETTE,https://www.facebook.com/culturebrionnaissb,culture@brionnaissudbourgogne.fr,2010 et après,,"Livre, littérature",,,,,,Poésie,Avant-saison (1er janvier - 20 juin),,FEST_71120_1586,"46.2065828065, 4.34173989083",
De la plaine au côteau,,Bourgogne-Franche-Comté,Saône-et-Loire,Fontaines,71150,71202,247100589,CA Le Grand Chalon,,,,,,,jean-luc.girard10@wanadoo.fr,2010 et après,2013,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71202_2256,"46.8516219974, 4.78077093032",
Festival de cinéma Effervescence,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,4,Rue,Agut,4 Rue Agut,,www.festivaleffervescence.fr,gael.labanti@orange.fr,2010 et après,2016,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,,Après-saison (6 septembre - 31 décembre),,FEST_71270_3597,"46.3205511756, 4.81842529639",
Festival de Lournand,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Lournand,71250,71264,200040293,CC du Clunisois,,,,,Mairie,www.festival-lournand.com,bernard.farcy71@orange.fr,De 2000 à 2009,2001,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71264_3473,"46.4645640534, 4.64914404204",
Crescent jazz festival,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,,Esplanade,Lamartine,Esplanade Lamartine,,www.lecrescent.net,lecrescent@lecrescent.net,De 1990 à 1999,1995,Musique,,"Jazz, blues","03- Jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),,FEST_71270_3595,"46.3205511756, 4.81842529639",145
Awaranda,,Bourgogne-Franche-Comté,Saône-et-Loire,Iguerande,71340,71238,200068088,CC Les Bertranges,,,Le Bourg,Le Bourg,,www.awaranda.fr,lydie.bajard@gmail.com,De 1990 à 1999,1999,Musique,,"Musiques du monde, Musiques traditionnelles",,,,,Après-saison (6 septembre - 31 décembre),,FEST_71238_2610,"46.2165272056, 4.07699692762",
Musicalium festival,,Bourgogne-Franche-Comté,Saône-et-Loire,Le Creusot,71200,71153,247100290,CU Le Creusot Montceau-les-Mines,,,,,,https://fr-fr.facebook.com/events/243253119414906/,musicalium@orange.fr,2010 et après,2017,Musique,,,02- Musiques amplifiées ou électroniques,,,,Avant-saison (1er janvier - 20 juin),,FEST_71153_3068,"46.8068539189, 4.42642301163",3579
L'art et la vigne,,Bourgogne-Franche-Comté,Saône-et-Loire,Cuiseaux,71480,71157,200071579,CC Bresse Louhannaise Intercom',20,Rue,Édouard Vuillard,20 Rue Édouard Vuillard,60,Cuiseauxpaysdespeintres.fr,gillescourtivron@gmail.com,2010 et après,2012,"Arts visuels, arts numériques",,,,,"Peinture, Sculpture, Street art",,Saison (21 juin - 5 septembre),,FEST_71157_1906,"46.5047162667, 5.36399526057",
Espace des arts scène nationale,,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,247100589,CA Le Grand Chalon,,,,,5 bis avenue Nicéphore Nièpce,,nicolas.royer@espace-des-arts.com,2010 et après,2015,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71076_1414,"46.7900288793, 4.85191555008",
Festival des Grandes Heures de Cluny,Communale,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,6,Rue,d'Avril,6 Rue d'Avril,Hôtel des Monnaies,https://www.grandesheuresdecluny.com/,lesgrandesheuresdecluny@gmail.com,Avant 1980,1967,Musique,,"Musique classique, Opéra, Danse Classique",,,,,Saison (21 juin - 5 septembre),,FEST_71137_1711,"46.4303628582, 4.67033276327",
Le mois thérapeutique,,Bourgogne-Franche-Comté,Saône-et-Loire,Louhans,71500,71263,200071579,CC Bresse Louhannaise Intercom',,,,,,,piecesetmaindoeuvre@free.fr,de 2000 à 2009,2009,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71263_3465,"46.6351883548, 5.23839292789",
Septembre imaginaire,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,,,,,,,note.eclose@gmail.com,2010 et après,2014,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71137_1717,"46.4303628582, 4.67033276327",
Les Effrontés,,Bourgogne-Franche-Comté,Saône-et-Loire,Moroges,71390,71324,247104094,CC Sud Côte Chalonnaise,,,,,,,rasposo@wanadoo.fr,de 1980 à 1989,1988,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71324_4180,"46.7507453415, 4.67430662316",
Festival international de Cuisery,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Cuisery,71290,71158,200071538,CC Terres de Bresse,2,Chemin,Pierre de Coubertin,2 Chemin  Pierre de Coubertin,,https://www.facebook.com/groups/112234878088/?ref=share_group_link,laveurdee@msn.com,2010 et après,2015,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71158_1908,"46.5569799009, 4.99361378862",
La Ferme se met en mouvement,,Bourgogne-Franche-Comté,Saône-et-Loire,Châtenoy-le-Royal,71880,71118,247100589,CA Le Grand Chalon,,,,,,,ferme.corcelle@free.fr,2010 et après,2014,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71118_1578,"46.788588171, 4.8058563943",
Break Storming,Régionale,Bourgogne-Franche-Comté,Saône-et-Loire,Chalon-sur-Saône,71100,71076,200065647,CA Pays de Montbéliard Agglomération,5 B,Avenue,Nicéphore Niepce,5 B Avenue Nicéphore Niepce,Espace des arts,https://www.espace-des-arts.com/,nicolas.royer@espace-des-arts.com,2010 et après,2019,Spectacle vivant,Danse,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71076_1409,"46.7900288793, 4.85191555008",
Direct Connection Festival,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,,,,,,,ilsscenent@yahoo.fr,2010 et après,2012,Pluridisciplinaire,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71137_1708,"46.4303628582, 4.67033276327",
Contes Givrés,Régionale,Bourgogne-Franche-Comté,Saône-et-Loire,Chevagny-sur-Guye,71220,71127,200040293,CC du Clunisois,,Rue,Grande,Rue Grande,,Www.association-antipodes.fr,lange.p@live.fr,De 1990 à 1999,1999,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71127_1613,"46.5403336038, 4.50069717167",
En mai pépète lumière fait ce qu'il lui plaît,Régionale,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,,,,,,www.pepete-lumiere.com,pepetelumiere@gmail.com,De 2000 à 2009,2009,Musique,,musique improvisée / folklore imaginaire,09- Pluridisciplinaire,,,,Avant-saison (1er janvier - 20 juin),,FEST_71137_1709,"46.4303628582, 4.67033276327",4899
Circocopiaus,,Bourgogne-Franche-Comté,Saône-et-Loire,Chagny,71150,71073,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1,Place,du théâtre,1 Place du théâtre,,boumkao.fr,boumkao@gmail.com,2010 et après,2016,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71073_1393,"46.8985800984, 4.77433585145",
Bissy sous les étoiles,,Bourgogne-Franche-Comté,Saône-et-Loire,Bissy-sur-Fley,71460,71037,247100639,CC de Marcigny,1,Place,Pontus de Tyard,1 Place Pontus de Tyard,château Pontus deyard,www.pontus-de-tyard.com,info@pontus-de-tyard.com,De 2000 à 2009,2001,Musique,,"Chanson ou variété française, Jazz, blues, Musiques du monde, Musiques traditionnelles",08- Musiques (sans distinction esthétique),,,,Saison (21 juin - 5 septembre),,FEST_71037_835,"46.6633352989, 4.6213986546",2223
Symphonies d'automne,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,,,,,,,maconsymphonies@gmail.com,De 1990 à 1999,1994,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71270_3601,"46.3205511756, 4.81842529639",
